Ranking,Country,Score,Political Context,Economic Context,Legal Framework,Safety Score,Sociocultural Context,Continent,Year
83,Comoros,60.16,56.36,50.26,59.98,58.56,75.63,Africa,2023
84,Guinea,59.82,59.26,47.05,71.15,50.96,70.67,Africa,2023
85,Hungary,59.8,47.07,32.31,67.25,85.03,67.33,Europe,2023
86,Israel,59.62,65.15,55.1,53.51,46.61,77.75,Asia,2023
87,Maldives,59.55,62.27,38.27,67.11,75.12,55.0,Asia,2023
88,Lesotho,59.39,57.37,40.14,57.31,68.11,74.0,Africa,2023
89,Georgia,59.3,52.42,46.43,80.79,41.34,75.5,Europe,2023
90,Mongolia,59.17,55.48,36.18,60.37,74.27,69.55,Asia,2023
91,Bulgaria,59.12,54.95,30.1,68.71,75.02,66.83,Europe,2023
94,Tunisia,58.49,61.82,41.84,67.19,51.42,70.2,Africa,2023
95,Botswana,58.49,56.97,37.24,56.36,72.11,69.75,Africa,2023
96,Paraguay,58.36,54.24,31.12,75.44,65.99,65.0,South America,2023
97,Mauritania,58.1,55.15,35.13,64.29,71.67,64.29,Africa,2023
98,Madagascar,58.02,52.58,35.08,64.47,73.47,64.5,Africa,2023
99,Angola,57.17,52.83,35.03,61.11,63.87,73.0,Africa,2023
100,Togo,57.17,57.52,53.06,61.93,55.15,69.5,Africa,2023
102,Fiji,56.91,44.85,39.8,58.33,77.55,64.0,Oceania,2023
103,Albania,56.41,50.55,29.39,68.77,66.75,66.6,Europe,2023
104,Chad,56.18,55.88,43.27,60.35,58.21,63.2,Africa,2023
105,Gabon,56.0,48.38,39.46,56.14,70.52,62.5,Africa,2023
106,Ukraine,55.76,61.21,42.86,79.45,18.84,76.43,Europe,2023
107,Burundi,55.74,50.03,44.67,59.55,77.66,52.78,Africa,2023
108,Greece,55.52,60.5,38.13,69.54,44.1,65.36,Europe,2023
109,Zambia,55.4,52.35,37.76,58.33,64.55,64.0,Africa,2023
110,Brazil,55.36,51.62,37.59,69.74,47.86,70.0,South America,2023
111,Mali,54.48,35.15,42.6,74.34,41.81,78.5,Africa,2023
112,El Salvador,54.09,42.94,39.07,63.22,62.37,62.86,North America,2023
113,Malaysia,51.55,46.52,42.6,40.13,72.48,56.0,Asia,2023
114,Ethiopia,50.53,50.65,45.77,63.66,35.29,57.29,Africa,2023
115,Thailand,50.15,58.99,45.24,47.37,45.5,53.67,Asia,2023
116,Mozambique,49.89,46.06,40.31,61.62,54.21,47.25,Africa,2023
117,Indonesia,49.27,45.91,41.33,55.7,37.42,66.0,Asia,2023
118,Cameroon,49.1,48.05,35.71,56.89,37.25,67.57,Africa,2023
119,Qatar,49.03,59.7,46.94,43.86,52.17,42.5,Asia,2023
120,Jordan,48.66,40.0,32.65,41.23,63.4,66.0,Asia,2023
121,Benin,48.39,47.73,28.19,57.46,53.1,55.5,Africa,2023
122,Kazakhstan,48.28,43.52,29.8,51.93,63.85,52.3,Asia,2023
123,Tanzania,48.28,43.88,32.65,45.09,60.56,59.2,Africa,2023
124,Guatemala,47.94,46.06,33.67,68.86,32.12,59.0,North America,2023
125,Democratic Republic of Congo,47.66,51.33,41.43,60.88,24.34,60.3,Africa,2023
126,Bolivia,47.58,44.55,33.67,58.77,55.89,45.0,South America,2023
127,Mexico,47.57,58.18,43.37,65.79,11.02,59.5,North America,2023
128,South Sudan,47.06,40.48,36.73,52.11,55.37,50.6,Africa,2023
129,Nigeria,46.79,45.15,36.39,53.8,28.75,69.83,Africa,2023
130,Lebanon,46.58,50.91,38.27,50.22,33.02,60.5,Asia,2023
132,Uganda,46.35,44.7,36.99,60.96,33.09,56.0,Africa,2023
133,Uzbekistan,44.74,44.75,35.71,50.88,44.03,53.33,Asia,2023
134,Algeria,45.53,41.21,32.4,54.17,44.02,55.88,Africa,2023
136,Rwanda,45.18,42.12,31.89,57.89,38.76,55.25,Africa,2023
137,Zimbabwe,44.94,40.3,32.4,54.17,43.34,54.5,Africa,2023
139,Singapore,44.23,39.09,29.21,34.21,69.39,49.25,Asia,2023
140,Somalia,44.01,51.03,41.22,47.72,18.27,61.8,Africa,2023
141,Equatorial Guinea,43.96,42.73,24.49,71.15,64.04,44.25,Africa,2023
142,Cambodia,43.48,42.42,27.96,49.65,34.96,62.4,Asia,2023
143,Libya,43.16,54.42,34.9,44.91,36.58,45.0,Africa,2023
144,Brunei,42.53,40.61,30.61,28.51,78.91,34.0,Asia,2023
145,Colombia,42.43,44.7,32.27,60.42,24.4,50.38,South America,2023
146,Sri Lanka,42.13,40.91,27.04,53.07,41.37,48.25,Asia,2023
147,Philippines,41.84,44.44,23.13,54.97,24.83,61.83,Asia,2023
148,Hong Kong,41.64,40.5,35.9,42.58,31.78,57.45,Asia,2023
149,Turkey,41.25,38.38,27.55,62.92,32.37,55.0,Europe,2023
150,India,41.0,40.76,30.36,57.02,20.61,56.25,Asia,2023
151,Sudan,40.96,47.05,29.97,41.45,35.35,51.0,Africa,2023
152,Tajikistan,40.26,33.79,29.85,48.68,42.96,46.0,Asia,2023
153,Belarus,39.62,32.93,48.75,37.23,18.85,60.33,Europe,2023
